"Unique";"Name"
"Process Equipment: Physical";"Process Equipment: Physical"
"Characterisation: Physical";"Characterisation"
"Ellipsometry";"Ellipsometry"
"Profilometer";"Profilometer"
"Chemical Reactor";"Chemical Reactor"
"Automated Extraction";"Automated Extraction"
"Automated Synthesis";"Automated Synthesis"
"Crystallisation";"Crystallisation"
"Distillation";"Distillation"
"Microwave";"Microwave"
"Parallel Synthesis";"Parallel Synthesis"
"Particle Formation";"Particle Formation"
"Controlled Environment";"Controlled Environment"
"Atmospheric Reactors";"Atmospheric Reactors"
"Furnace";"Furnace"
"Glove Box";"Glove Box"
"Radioisotope Production";"Radioisotope Production"
"Rapid Thermal Annealer";"Rapid Thermal Annealer"
"Sprayer";"Sprayer"
"Etching";"Etching"
"Ion Beam Milling";"Ion Beam Milling"
"Laser: Etching";"Laser"
"Mechanical";"Mechanical"
"Plasma";"Plasma"
"Reactive Ion";"Reactive Ion"
"Lithography";"Lithography"
"Electron beam";"Electron beam"
"Ion Beam";"Ion Beam"
"Laser (Direct-Write)";"Laser (Direct-Write)"
"Optical: Lithography";"Optical"
"Spin Coater";"Spin Coater"
"Packaging";"Packaging"
"Dicing";"Dicing"
"Encapsulation";"Encapsulation"
"Wafer/Chip Bonding";"Wafer/Chip Bonding"
"Wire Bonding";"Wire Bonding"
"Sample Manipulation: Physical";"Sample Manipulation"
"Micromanipulation";"Micromanipulation"
"Robot";"Robot"
"Stopped Flow";"Stopped Flow"
"Textiles";"Textiles"
"Textiles Printer";"Textiles Printer"
"Textiles Production";"Textiles Production"
"Thin Film Deposition";"Thin Film Deposition"
"Chemical Vapour Deposition";"Chemical Vapour Deposition"
"Electrodeposition";"Electrodeposition"
"Evaporator";"Evaporator"
"Ion Beam Deposition";"Ion Beam Deposition"
"Molecular Beam Epitaxy";"Molecular Beam Epitaxy"
"Pulsed Laser Deposition";"Pulsed Laser Deposition"
"Sputterer";"Sputterer"
"Process Equipment: Biological";"Process Equipment: Biological"
"Centrifuge";"Centrifuge"
"High Speed";"High Speed"
"Ultracentrifuges";"Ultracentrifuges"
"Characterisation: Biological";"Characterisation"
"Analysers";"Analysers"
"Cell Counters";"Cell Counters"
"Fluorescent Readers";"Fluorescent Readers"
"Infra-Red: Characterisation";"Infra-Red"
"Plate Reader";"Plate Reader"
"Scintillation Counters";"Scintillation Counters"
"UV";"UV"
"Growth and Manipulation";"Growth and Manipulation"
"Bacteriology";"Bacteriology"
"Cell Culture";"Cell Culture"
"Fermentology";"Fermentology"
"Synthesisers";"Synthesisers"
"Transfection";"Transfection"
"Virology";"Virology"
"Sterilisation";"Sterilisation"
"Autoclave";"Autoclave"
"Irradiation";"Irradiation"
"VHP Decontamination";"VHP Decontamination"
"Water Purification";"Water Purification"
"Tissue Processing";"Tissue Processing"
"Cell Disruptor";"Cell Disruptor"
"Cryostat";"Cryostat"
"Dehydration";"Dehydration"
"Immunostainer";"Immunostainer"
"Microtome";"Microtome"
"Tissue Processor";"Tissue Processor"
"Materials Characterisation";"Materials Characterisation"
"Chemical Analysis";"Chemical Analysis"
"Chromatography";"Chromatography"
"Distillation Analysis";"Distillation Analysis"
"Electrochemical";"Electrochemical"
"Electrophoresis: Analysis";"Electrophoresis"
"Gas Analysis";"Gas Analysis"
"Liquid Analysis";"Liquid Analysis"
"Macromolecular";"Macromolecular"
"Solids";"Solids"
"Diffraction";"Diffraction"
"High Energy Electron";"High Energy Electron"
"Low Energy Electron";"Low Energy Electron"
"X-ray: Diffraction";"X-ray"
"Electron/Ion Microscopy";"Electron/Ion Microscopy"
"Detectors";"Detectors"
"Ion Beam: Microscopy";"Ion Beam"
"Sample Manipulation";"Sample Manipulation"
"Scanning";"Scanning"
"Scanning Transmission";"Scanning Transmission"
"Transmission: Electron/Ion";"Transmission"
"Imaging";"Imaging"
"Electrical: Imaging";"Electrical"
